computer_No,department,user,computer_name,ip,processor,MOBO,power_supply,ram,SSD,OS
1,ACCTG,JEZarandona,LENOVO_LAPTOP11,192.168.1.23,Intel Core i7-8265 CPU @ 1.80Ghz,x,x,DDR4 16GB,SSD M.2 500GB,Windows 10 Pro 64-bit
2,ACCTG,Mfinsigne,ACT_WKS01,192.168.1.21,Intel Core i5-6500 CPU @ 3.20Ghz,Lenovo IB250MH,Huntkey 180W,Samsung DDR3 8GB,Samsung SSD 250GB,Windows 10 Pro 64-bit
3,ACCTG,JFCapistrano,ACT_WKS02,192.168.1.22,Intel Core i5-6500 CPU @ 3.20Ghz,Lenovo IB250MH,Huntkey 180W,Ramaxel DDR3 8GB,Samsung SSD 250GB,Windows 10 Pro 64-bit
4,BCAM,MBPornea,DELL_LAPTOP01,192.168.1.25,Intel Core i5-8365U CPU,x,x,Fury DDR4 16GB,250GB SSD M.2,Windows 10 Pro 64-bit
5,BCAM,BTGamboa,BCAM_WKS01,192.168.1.26,12th Gen Intel(R) Core(TM) - i7-12700 CPU @ 2.10GHz,Asus PRIME H610M-K D4,Silverstone 700W,KINGSTON FURY DDR4 8GB 2X,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
6,BCAM,CAHolgado,BCAM_WKS02,192.168.1.27,12th Gen Intel(R) Core(TM) - i7-12700 CPU @ 2.10GHz,Asus PRIME H610M-K D4,Silverstone 700W,KINGSTON FURY DDR4 8GB 2X,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
7,BD,JPFrance,LENOVO_LAPTOP11,192.168.1.32,Intel Core i5-8265 CPU @ 1.80Ghz,x,x,DDR4 8GB, SSD 233GB,Windows 10 Pro 64-bit
8,BD,LLBelan,LENOVO_LAPTOP03,192.168.1.33,Intel Core i5-8250U CPU @ 1.60GHz,x,x,DDR4 8GB,Samsung SSD 250GB,Windows 10 Pro 64-bit
9,BD,JAVerian,LENOVO_LAPTOP08,192.168.1.30,Intel Core i5-8250U CPU @ 1.60GHz,x,x,DDR4 8GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
10,BD,KVRico,LENOVO_LAPTOP06,192.168.1.31,Intel Core i5-8250U CPU @ 1.60GHz,x,x,DDR4 8GB,SSD 1TB,Windows 10 Pro 64-bit
11,BD,JBLibrojo,BD_LAPTOP01,192.168.1.34,Intel Core i3-1115G4 CPU @ 3000GHz,x,x,DDR4 16GB,SSD M.2 250GB,Windows 10 Pro 64-bit
